Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All ages,5378932,5387650,5393382,5398657,5402547,5378951,5379161,5380053,5384822,5389180,5393637,5400998,5412254,5424925,5435273,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421
Zero years,59594,58675,57157,55831,54741,50861,50519,51384,53451,54110,53637,54194,57151,60981,60164,60598,55828,55175,55513,56110,58277,58735,58445
1 year,60762,59516,58586,57064,55758,53924,50805,50459,51355,53386,54086,53627,54221,57167,60952,57712,61091,56389,55747,56119,56967,59054,59484
2 years,65623,60738,59499,58574,57043,55632,53919,50804,50458,51353,53383,54108,53648,54231,57189,59722,57903,61242,56576,55942,56394,57279,59358
3 years,72487,65612,60693,59466,58556,56386,55635,53905,50803,50472,51370,53398,54121,53659,54270,57077,59805,58025,61365,56678,56156,56604,57499
4 years,73665,72483,65578,60695,59464,57845,56395,55651,53914,50822,50469,51390,53409,54138,53663,54439,57141,59825,58073,61426,56811,56274,56746
5 years,77423,73647,72488,65569,60697,59967,57858,56403,55642,53936,50830,50469,51412,53423,54149,54008,54464,57122,59854,58113,61481,56905,56360
6 years,77329,77413,73636,72488,65552,61038,59961,57863,56400,55644,53939,50842,50472,51403,53432,54527,54015,54485,57082,59818,58108,61494,56950
7 years,77498,77335,77403,73636,72476,65833,61035,59970,57878,56407,55631,53941,50845,50485,51403,54020,54516,53958,54460,57040,59836,58151,61526
8 years,80736,77493,77330,77399,73644,72234,65821,61047,59968,57896,56413,55636,53950,50842,50483,51694,54003,54528,53935,54444,57021,59839,58156
9 years,81383,80726,77480,77316,77406,73797,72213,65840,61057,59970,57901,56415,55636,53960,50835,50915,51673,54024,54502,53922,54440,57009,59830
10 years,84299,81377,80720,77477,77308,77316,73778,72221,65833,61073,59972,57904,56418,55639,53962,51547,50889,51681,53991,54471,53908,54445,57002
11 years,87553,84296,81365,80707,77464,78778,77319,73788,72229,65842,61075,59976,57916,56421,55638,55037,51540,50879,51656,53965,54458,53903,54438
12 years,88112,87546,84278,81361,80718,79019,78780,77324,73798,72246,65841,61066,59974,57920,56430,55943,55028,51567,50857,51634,53955,54452,53892
13 years,88991,88102,87531,84259,81356,81940,79016,78783,77335,73805,72256,65832,61061,59982,57911,56763,55925,55048,51541,50821,51614,53941,54435
14 years,89442,88991,88097,87532,84242,82400,81937,79014,78794,77346,73819,72246,65835,61069,59976,58570,56755,55977,55029,51540,50802,51616,53921
15 years,89908,89460,88995,88110,87528,86016,82390,81947,79012,78796,77343,73828,72255,65836,61045,59618,58546,56848,55938,54989,51526,50796,51608
16 years,91492,89904,89464,88991,88105,88661,86003,82385,81936,79030,78799,77330,73820,72260,65836,60945,59596,58573,56824,55918,54969,51522,50792
17 years,96177,91458,89882,89443,88960,88771,88622,85994,82384,81918,79025,78799,77330,73826,72262,65684,60930,59702,58552,56806,55899,54963,51517
18 years,95853,96138,91409,89852,89406,89251,88726,88596,85982,82386,81919,79105,78861,77353,73852,72237,65680,60988,59685,58544,56816,55888,54960
19 years,95458,95801,96081,91370,89816,90582,89202,88681,88575,85976,82387,82064,79246,78911,77385,73411,72240,65797,60991,59712,58544,56814,55900
20 years,95166,95411,95742,96043,91321,90787,90531,89154,88659,88569,85989,82551,82241,79302,78938,76873,73419,72344,65799,61026,59749,58543,56810
21 years,93600,95095,95349,95673,95984,92154,90750,90461,89127,88661,88616,86133,82726,82320,79334,78299,76875,73547,72349,65825,61072,59764,58575
22 years,92999,93551,95050,95291,95601,96113,92068,90701,90463,89130,88707,88770,86280,82820,82355,78366,78320,77030,73557,72393,65865,61087,59798
23 years,88274,92947,93502,95014,95213,95152,96023,92030,90689,90489,89172,88871,88961,86368,82876,80907,78382,78465,77053,73599,72421,65895,61111
24 years,83445,88257,92880,93423,94965,94433,95042,95951,91999,90680,90548,89349,89040,89049,86424,81759,80929,78459,78487,77122,73647,72493,65943
25 years,78731,83418,88207,92858,93378,94647,94358,94984,95932,91991,90712,90680,89461,89130,89092,84175,81756,80948,78465,78506,77146,73678,72495
26 years,76250,78725,83408,88161,92777,92123,94553,94292,94949,95965,92052,90818,90812,89521,89214,87339,84172,81765,80927,78488,78547,77158,73738
27 years,74300,76219,78694,83346,88114,91704,92052,94495,94284,94941,95967,92196,90986,90861,89589,87476,87324,84055,81737,80962,78501,78559,77169
28 years,71048,74293,76213,78674,83298,86938,91617,91969,94475,94297,94938,96083,92350,91056,90888,87808,87456,87131,84035,81752,80987,78484,78513
29 years,71713,71032,74263,76181,78610,82191,86864,91574,91938,94446,94332,95062,96216,92399,91069,88266,87785,87188,87020,84009,81726,80996,78470
30 years,74788,71692,70996,74241,76123,77077,82131,86819,91589,91933,94467,94439,95144,96282,92412,88282,88252,87522,87082,86971,83990,81680,80942
31 years,77162,74731,71656,70967,74209,74586,77009,82079,86816,91566,91958,94558,94542,95180,96315,89607,88223,87840,87415,86993,86924,83959,81639
32 years,79701,77153,74683,71615,70924,73352,74552,76980,82087,86795,91597,92068,94652,94589,95206,93930,89574,88031,87714,87328,86930,86847,83907
33 years,79098,79650,77083,74634,71548,69899,73305,74524,76974,82089,86794,91698,92181,94677,94580,93099,93876,89088,87894,87653,87247,86865,86776
34 years,76229,79060,79572,77032,74581,70647,69837,73278,74534,76957,82085,86841,91757,92197,94685,92698,93036,93440,88894,87803,87528,87140,86772
35 years,78893,76174,78989,79509,76951,73999,70566,69788,73276,74538,76961,82155,86906,91768,92155,92212,92651,92699,93282,88730,87681,87431,87005
36 years,79536,78797,76080,78922,79455,76239,73941,70503,69743,73253,74562,77060,82217,86899,91777,90165,92136,92268,92524,93138,88623,87546,87317
37 years,78580,79425,78678,75999,78857,78691,76186,73890,70445,69733,73212,74624,77163,82210,86847,90133,90106,91915,92059,92360,92967,88477,87399
38 years,82528,78449,79321,78588,75908,77804,78586,76078,73846,70407,69714,73260,74668,77119,82196,85249,90066,89887,91738,91933,92189,92809,88348
39 years,85154,82383,78268,79166,78447,75292,77686,78462,76007,73803,70367,69795,73291,74651,77086,80361,85142,89835,89712,91612,91827,92057,92664
40 years,86806,84971,82196,78105,79036,77801,75166,77556,78372,75926,73744,70400,69843,73249,74610,75743,80281,85091,89625,89546,91441,91678,91891
41 years,86441,86640,84741,81993,77936,78142,77622,75028,77452,78276,75822,73697,70405,69776,73176,73460,75660,80147,84930,89455,89410,91268,91523
42 years,84774,86214,86405,84516,81821,77278,77931,77424,74916,77358,78186,75761,73696,70345,69703,72297,73379,75596,79980,84768,89284,89227,91087
43 years,84022,84522,85916,86154,84291,80762,77093,77739,77283,74805,77245,78101,75701,73562,70274,68808,72190,73316,75439,79854,84643,89131,89052
44 years,84172,83758,84235,85637,85880,83325,80522,76862,77564,77136,74636,77122,78015,75528,73410,69414,68720,72044,73152,75280,79683,84470,88946
45 years,82669,83887,83422,83937,85343,85331,83013,80223,76644,77346,76976,74509,77032,77868,75339,71993,69276,68577,71882,72973,75116,79502,84290
46 years,78799,82335,83528,83065,83619,84431,85032,82662,79938,76386,77127,76795,74364,76868,77674,74262,71798,69169,68362,71668,72792,74951,79314
47 years,71698,78418,81952,83188,82702,82627,84083,84708,82336,79638,76099,76891,76585,74161,76668,76806,74048,71575,68962,68168,71452,72569,74761
48 years,70789,71359,78006,81530,82793,81353,82211,83680,84353,81977,79309,75812,76634,76297,73892,75727,76545,73770,71346,68752,67968,71236,72349
49 years,67611,70400,70960,77577,81102,81928,80906,81767,83304,83953,81565,78971,75511,76336,76010,72787,75448,76265,73487,71099,68512,67721,70996
50 years,58416,67158,69928,70490,77101,80100,81418,80436,81358,82886,83571,81193,78609,75177,75974,75085,72467,75172,75940,73193,70847,68269,67491
51 years,53590,58026,66739,69422,70037,75973,79597,80906,79929,80918,82420,83114,80728,78181,74823,74962,74752,72087,74781,75623,72868,70500,67951
52 years,56019,53187,57582,66270,68904,69380,75435,79040,80430,79418,80381,81977,82592,80207,77724,73918,74547,74365,71731,74404,75278,72446,70135
53 years,52287,55555,52772,57134,65756,67985,68849,74860,78512,79844,78876,79858,81481,82040,79665,76891,73496,74153,73970,71288,74034,74863,72055
54 years,51733,51815,55030,52295,56625,64896,67414,68297,74269,77907,79233,78337,79299,80923,81461,78904,76354,72972,73693,73464,70842,73583,74390
55 years,51309,51246,51323,54459,51865,56011,64318,66821,67730,73645,77253,78559,77751,78687,80302,80184,78344,75835,72474,73173,72982,70368,73080
56 years,50874,50781,50704,50778,53914,51434,55421,63695,66275,67113,72995,76584,77890,77078,78042,79378,79543,77730,75225,71883,72632,72471,69841
57 years,47954,50286,50189,50159,50209,53426,50888,54778,63060,65603,66480,72255,75859,77139,76383,77168,78690,78881,77006,74537,71316,72055,71909
58 years,45990,47335,49651,49593,49587,49332,52830,50360,54208,62370,64912,65748,71476,75049,76472,75730,76491,77954,78123,76332,73886,70677,71433
59 years,44414,45364,46692,48987,48993,48934,48736,52160,49718,53583,61647,64193,64996,70645,74234,75438,74975,75708,77191,77349,75581,73173,70012
60 years,43570,43768,44720,46012,48322,48224,48250,48059,51465,49068,52907,60846,63410,64231,69776,73358,74543,74099,74869,76333,76559,74756,72387
61 years,44583,42877,43059,43994,45246,47206,47514,47549,47440,50729,48411,52221,60072,62550,63382,69052,72481,73578,73183,73934,75478,75593,73837
62 years,43662,43822,42134,42307,43279,44178,46449,46747,46847,46727,49987,47712,51481,59181,61637,62615,68110,71516,72577,72212,73008,74537,74675
63 years,43544,42830,42919,41349,41542,42016,43421,45658,45990,46121,46027,49209,46970,50640,58241,60743,61711,67128,70495,71480,71133,72001,73525
64 years,45540,42662,41943,42042,40556,40114,41226,42655,44844,45152,45344,45170,48374,46169,49802,57466,59717,60795,66133,69333,70390,70068,70962
65 years,44550,44558,41757,40995,41083,39476,39250,40379,41811,43979,44293,44525,44388,47522,45370,48661,56478,58765,59818,65047,68218,69276,68962
66 years,43796,43461,43452,40753,40009,39646,38563,38379,39531,40955,43073,43412,43700,43519,46566,44506,47794,55506,57789,58814,63905,67075,68042
67 years,42056,42614,42312,42304,39738,38711,38674,37641,37523,38587,40010,42109,42517,42816,42608,45690,43671,46927,54444,56708,57777,62834,65871
68 years,40680,40864,41334,41143,41157,38331,37704,37644,36673,36600,37593,39061,41129,41605,41889,41974,44727,42800,46022,53311,55549,56589,61547
69 years,38936,39408,39535,40101,39884,39607,37220,36603,36593,35666,35628,36531,38030,40144,40588,40943,41007,43765,41885,44953,52164,54367,55378
70 years,38226,37572,38045,38208,38779,38202,38427,36040,35447,35469,34655,34618,35462,36996,39152,39894,39943,40058,42710,40979,43890,51007,53154
71 years,36123,36774,36139,36690,36842,36880,36926,37138,34857,34313,34279,33598,33437,34419,35881,38419,38840,38875,39039,41591,39923,42740,49798
72 years,35522,34551,35268,34688,35218,35033,35480,35541,35795,33618,33097,33115,32471,32332,33298,35173,37350,37766,37849,37998,40491,38811,41584
73 years,36008,33872,33059,33797,33211,33291,33604,34055,34134,34368,32291,31865,31876,31280,31154,32604,34049,36204,36668,36731,36822,39291,37699
74 years,33759,34227,32155,31488,32204,31360,31754,32148,32532,32651,32889,30969,30587,30656,30143,30609,31485,32841,35051,35465,35630,35580,38026
75 years,31758,31940,32347,30459,29773,30288,29860,30178,30567,30976,31026,31397,29557,29298,29342,28995,29375,30315,31615,33796,34210,34425,34374
76 years,25319,29840,30033,30433,28733,27840,28654,28326,28618,28958,29365,29432,29896,28206,27865,28382,27732,28148,29072,30362,32464,32896,33094
77 years,23033,23696,27861,28148,28514,26760,26215,26909,26681,26983,27333,27734,27837,28311,26705,26885,26999,26564,26863,27744,29061,31067,31485
78 years,10207,21429,22047,25933,26240,26273,24985,24401,25129,24966,25206,25591,26034,26242,26637,25571,25437,25714,25257,25543,26463,27664,29576
79 years,9654,9409,19777,20319,24004,24199,24368,23280,22609,23355,23206,23437,23922,24347,24558,25274,24090,23960,24338,23804,24158,25025,26216
80 years,9615,8845,8575,18128,18566,21807,22234,22374,21425,20789,21537,21387,21714,22219,22558,23243,23622,22588,22429,22817,22478,22796,23615
81 years,11876,8734,8048,7773,16420,16703,19899,20256,20426,19467,19016,19666,19672,20001,20294,21213,21514,21948,21032,20811,21288,21002,21248
82 years,15357,10679,7857,7291,6953,14613,15049,18044,18376,18401,17630,17150,17825,17895,18167,18870,19435,19722,20169,19369,19237,19666,19448
83 years,13219,13711,9444,6950,6432,6009,13051,13454,16138,16447,16396,15743,15486,15969,16101,16668,17057,17741,18049,18371,17771,17581,18072
84 years,11667,11614,12013,8257,6093,5506,5323,11468,11861,14152,14570,14418,13908,13722,14107,14667,14865,15346,16047,16276,16713,16098,15923
85 years,9239,10199,10111,10534,7201,5236,4847,4626,10013,10308,12382,12685,12615,12163,11977,12700,12950,13212,13824,14296,14601,14986,14424
86 years,8040,7901,8710,8678,9041,6056,4477,4170,3998,8549,8823,10693,10887,10928,10479,10621,11070,11308,11627,12099,12637,12855,13259
87 years,7139,6785,6624,7348,7313,7413,5152,3788,3560,3332,7201,7425,9117,9289,9360,9218,9021,9623,9827,10073,10531,10977,11145
88 years,5451,5905,5595,5501,6149,5813,6105,4302,3203,2975,2755,5984,6232,7621,7710,8186,7832,7784,8185,8344,8624,9079,9455
89 years,3948,4412,4787,4576,4439,4867,4756,5012,3528,2606,2434,2290,4903,5113,6267,6484,6779,6658,6608,6843,7036,7177,7681
90 years,3120,3160,3535,3865,3687,3518,3940,3788,4034,2814,2103,1944,1898,3901,4089,5107,5310,5539,5506,5512,5673,5797,5963
91 years,2300,2465,2511,2825,3040,2754,2756,3089,2985,3167,2231,1654,1526,1493,3067,3324,4075,4310,4475,4476,4523,4582,4707
92 years,1808,1786,1948,1964,2199,2076,2157,2134,2407,2260,2464,1735,1301,1186,1164,2541,2580,3225,3477,3505,3611,3594,3643
93 years,1340,1418,1448,1514,1563,1418,1597,1620,1638,1807,1709,1913,1333,960,904,953,1964,2008,2532,2729,2725,2843,2865
94 years,992,1028,1139,1162,1246,947,1055,1177,1234,1238,1340,1267,1423,1022,740,764,723,1497,1545,1934,2070,2075,2230
95 years,688,776,839,898,917,632,654,744,870,912,928,1009,962,1059,776,585,576,561,1155,1182,1461,1543,1603
96 years,464,555,634,689,740,504,448,479,544,629,652,689,747,723,782,552,450,446,449,847,927,1095,1216
97 years,280,383,473,561,582,326,363,329,325,394,459,484,497,572,560,476,398,338,350,330,640,724,875
98 years,192,234,311,411,485,188,228,259,238,236,289,355,363,382,464,330,341,300,287,279,265,502,585
99 years,132,172,200,265,379,153,123,170,195,171,167,234,262,286,312,259,239,243,245,227,231,222,407
100 years,192,284,407,538,0,249,327,367,451,540,609,663,791,937,1090,152,193,184,186,199,185,198,190
100 years or over,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,119,161,151,153,174,156,182
102 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,44,99,136,133,142,149,140
103 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,31,94,121,120,132,142
104 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,16,26,92,114,113,128
105 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,11,24,88,108,106
106 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,11,10,23,86,105
107 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,6,12,9,24,84
108 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,4,6,11,11,24
109 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,4,6,11,10
110 years or over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,10,16,20,26,38