age_num,Age,Year,Value
0,Zero years,1996,59594
1,1 year,1996,60762
2,2 years,1996,65623
3,3 years,1996,72487
4,4 years,1996,73665
5,5 years,1996,77423
6,6 years,1996,77329
7,7 years,1996,77498
8,8 years,1996,80736
9,9 years,1996,81383
10,10 years,1996,84299
11,11 years,1996,87553
12,12 years,1996,88112
13,13 years,1996,88991
14,14 years,1996,89442
15,15 years,1996,89908
16,16 years,1996,91492
17,17 years,1996,96177
18,18 years,1996,95853
19,19 years,1996,95458
20,20 years,1996,95166
21,21 years,1996,93600
22,22 years,1996,92999
23,23 years,1996,88274
24,24 years,1996,83445
25,25 years,1996,78731
26,26 years,1996,76250
27,27 years,1996,74300
28,28 years,1996,71048
29,29 years,1996,71713
30,30 years,1996,74788
31,31 years,1996,77162
32,32 years,1996,79701
33,33 years,1996,79098
34,34 years,1996,76229
35,35 years,1996,78893
36,36 years,1996,79536
37,37 years,1996,78580
38,38 years,1996,82528
39,39 years,1996,85154
40,40 years,1996,86806
41,41 years,1996,86441
42,42 years,1996,84774
43,43 years,1996,84022
44,44 years,1996,84172
45,45 years,1996,82669
46,46 years,1996,78799
47,47 years,1996,71698
48,48 years,1996,70789
49,49 years,1996,67611
50,50 years,1996,58416
51,51 years,1996,53590
52,52 years,1996,56019
53,53 years,1996,52287
54,54 years,1996,51733
55,55 years,1996,51309
56,56 years,1996,50874
57,57 years,1996,47954
58,58 years,1996,45990
59,59 years,1996,44414
60,60 years,1996,43570
61,61 years,1996,44583
62,62 years,1996,43662
63,63 years,1996,43544
64,64 years,1996,45540
65,65 years,1996,44550
66,66 years,1996,43796
67,67 years,1996,42056
68,68 years,1996,40680
69,69 years,1996,38936
70,70 years,1996,38226
71,71 years,1996,36123
72,72 years,1996,35522
73,73 years,1996,36008
74,74 years,1996,33759
75,75 years,1996,31758
76,76 years,1996,25319
77,77 years,1996,23033
78,78 years,1996,10207
79,79 years,1996,9654
80,80 years,1996,9615
81,81 years,1996,11876
82,82 years,1996,15357
83,83 years,1996,13219
84,84 years,1996,11667
85,85 years,1996,9239
86,86 years,1996,8040
87,87 years,1996,7139
88,88 years,1996,5451
89,89 years,1996,3948
90,90 years,1996,3120
91,91 years,1996,2300
92,92 years,1996,1808
93,93 years,1996,1340
94,94 years,1996,992
95,95 years,1996,688
96,96 years,1996,464
97,97 years,1996,280
98,98 years,1996,192
99,99 years,1996,132
100,100 years,1996,192
101,101 years,1996,0
102,102 years,1996,0
103,103 years,1996,0
104,104 years,1996,0
105,105 years,1996,0
106,106 years,1996,0
107,107 years,1996,0
108,108 years,1996,0
109,109 years,1996,0
0,Zero years,1997,58675
1,1 year,1997,59516
2,2 years,1997,60738
3,3 years,1997,65612
4,4 years,1997,72483
5,5 years,1997,73647
6,6 years,1997,77413
7,7 years,1997,77335
8,8 years,1997,77493
9,9 years,1997,80726
10,10 years,1997,81377
11,11 years,1997,84296
12,12 years,1997,87546
13,13 years,1997,88102
14,14 years,1997,88991
15,15 years,1997,89460
16,16 years,1997,89904
17,17 years,1997,91458
18,18 years,1997,96138
19,19 years,1997,95801
20,20 years,1997,95411
21,21 years,1997,95095
22,22 years,1997,93551
23,23 years,1997,92947
24,24 years,1997,88257
25,25 years,1997,83418
26,26 years,1997,78725
27,27 years,1997,76219
28,28 years,1997,74293
29,29 years,1997,71032
30,30 years,1997,71692
31,31 years,1997,74731
32,32 years,1997,77153
33,33 years,1997,79650
34,34 years,1997,79060
35,35 years,1997,76174
36,36 years,1997,78797
37,37 years,1997,79425
38,38 years,1997,78449
39,39 years,1997,82383
40,40 years,1997,84971
41,41 years,1997,86640
42,42 years,1997,86214
43,43 years,1997,84522
44,44 years,1997,83758
45,45 years,1997,83887
46,46 years,1997,82335
47,47 years,1997,78418
48,48 years,1997,71359
49,49 years,1997,70400
50,50 years,1997,67158
51,51 years,1997,58026
52,52 years,1997,53187
53,53 years,1997,55555
54,54 years,1997,51815
55,55 years,1997,51246
56,56 years,1997,50781
57,57 years,1997,50286
58,58 years,1997,47335
59,59 years,1997,45364
60,60 years,1997,43768
61,61 years,1997,42877
62,62 years,1997,43822
63,63 years,1997,42830
64,64 years,1997,42662
65,65 years,1997,44558
66,66 years,1997,43461
67,67 years,1997,42614
68,68 years,1997,40864
69,69 years,1997,39408
70,70 years,1997,37572
71,71 years,1997,36774
72,72 years,1997,34551
73,73 years,1997,33872
74,74 years,1997,34227
75,75 years,1997,31940
76,76 years,1997,29840
77,77 years,1997,23696
78,78 years,1997,21429
79,79 years,1997,9409
80,80 years,1997,8845
81,81 years,1997,8734
82,82 years,1997,10679
83,83 years,1997,13711
84,84 years,1997,11614
85,85 years,1997,10199
86,86 years,1997,7901
87,87 years,1997,6785
88,88 years,1997,5905
89,89 years,1997,4412
90,90 years,1997,3160
91,91 years,1997,2465
92,92 years,1997,1786
93,93 years,1997,1418
94,94 years,1997,1028
95,95 years,1997,776
96,96 years,1997,555
97,97 years,1997,383
98,98 years,1997,234
99,99 years,1997,172
100,100 years,1997,284
101,101 years,1997,0
102,102 years,1997,0
103,103 years,1997,0
104,104 years,1997,0
105,105 years,1997,0
106,106 years,1997,0
107,107 years,1997,0
108,108 years,1997,0
109,109 years,1997,0
0,Zero years,1998,57157
1,1 year,1998,58586
2,2 years,1998,59499
3,3 years,1998,60693
4,4 years,1998,65578
5,5 years,1998,72488
6,6 years,1998,73636
7,7 years,1998,77403
8,8 years,1998,77330
9,9 years,1998,77480
10,10 years,1998,80720
11,11 years,1998,81365
12,12 years,1998,84278
13,13 years,1998,87531
14,14 years,1998,88097
15,15 years,1998,88995
16,16 years,1998,89464
17,17 years,1998,89882
18,18 years,1998,91409
19,19 years,1998,96081
20,20 years,1998,95742
21,21 years,1998,95349
22,22 years,1998,95050
23,23 years,1998,93502
24,24 years,1998,92880
25,25 years,1998,88207
26,26 years,1998,83408
27,27 years,1998,78694
28,28 years,1998,76213
29,29 years,1998,74263
30,30 years,1998,70996
31,31 years,1998,71656
32,32 years,1998,74683
33,33 years,1998,77083
34,34 years,1998,79572
35,35 years,1998,78989
36,36 years,1998,76080
37,37 years,1998,78678
38,38 years,1998,79321
39,39 years,1998,78268
40,40 years,1998,82196
41,41 years,1998,84741
42,42 years,1998,86405
43,43 years,1998,85916
44,44 years,1998,84235
45,45 years,1998,83422
46,46 years,1998,83528
47,47 years,1998,81952
48,48 years,1998,78006
49,49 years,1998,70960
50,50 years,1998,69928
51,51 years,1998,66739
52,52 years,1998,57582
53,53 years,1998,52772
54,54 years,1998,55030
55,55 years,1998,51323
56,56 years,1998,50704
57,57 years,1998,50189
58,58 years,1998,49651
59,59 years,1998,46692
60,60 years,1998,44720
61,61 years,1998,43059
62,62 years,1998,42134
63,63 years,1998,42919
64,64 years,1998,41943
65,65 years,1998,41757
66,66 years,1998,43452
67,67 years,1998,42312
68,68 years,1998,41334
69,69 years,1998,39535
70,70 years,1998,38045
71,71 years,1998,36139
72,72 years,1998,35268
73,73 years,1998,33059
74,74 years,1998,32155
75,75 years,1998,32347
76,76 years,1998,30033
77,77 years,1998,27861
78,78 years,1998,22047
79,79 years,1998,19777
80,80 years,1998,8575
81,81 years,1998,8048
82,82 years,1998,7857
83,83 years,1998,9444
84,84 years,1998,12013
85,85 years,1998,10111
86,86 years,1998,8710
87,87 years,1998,6624
88,88 years,1998,5595
89,89 years,1998,4787
90,90 years,1998,3535
91,91 years,1998,2511
92,92 years,1998,1948
93,93 years,1998,1448
94,94 years,1998,1139
95,95 years,1998,839
96,96 years,1998,634
97,97 years,1998,473
98,98 years,1998,311
99,99 years,1998,200
100,100 years,1998,407
101,101 years,1998,0
102,102 years,1998,0
103,103 years,1998,0
104,104 years,1998,0
105,105 years,1998,0
106,106 years,1998,0
107,107 years,1998,0
108,108 years,1998,0
109,109 years,1998,0
0,Zero years,1999,55831
1,1 year,1999,57064
2,2 years,1999,58574
3,3 years,1999,59466
4,4 years,1999,60695
5,5 years,1999,65569
6,6 years,1999,72488
7,7 years,1999,73636
8,8 years,1999,77399
9,9 years,1999,77316
10,10 years,1999,77477
11,11 years,1999,80707
12,12 years,1999,81361
13,13 years,1999,84259
14,14 years,1999,87532
15,15 years,1999,88110
16,16 years,1999,88991
17,17 years,1999,89443
18,18 years,1999,89852
19,19 years,1999,91370
20,20 years,1999,96043
21,21 years,1999,95673
22,22 years,1999,95291
23,23 years,1999,95014
24,24 years,1999,93423
25,25 years,1999,92858
26,26 years,1999,88161
27,27 years,1999,83346
28,28 years,1999,78674
29,29 years,1999,76181
30,30 years,1999,74241
31,31 years,1999,70967
32,32 years,1999,71615
33,33 years,1999,74634
34,34 years,1999,77032
35,35 years,1999,79509
36,36 years,1999,78922
37,37 years,1999,75999
38,38 years,1999,78588
39,39 years,1999,79166
40,40 years,1999,78105
41,41 years,1999,81993
42,42 years,1999,84516
43,43 years,1999,86154
44,44 years,1999,85637
45,45 years,1999,83937
46,46 years,1999,83065
47,47 years,1999,83188
48,48 years,1999,81530
49,49 years,1999,77577
50,50 years,1999,70490
51,51 years,1999,69422
52,52 years,1999,66270
53,53 years,1999,57134
54,54 years,1999,52295
55,55 years,1999,54459
56,56 years,1999,50778
57,57 years,1999,50159
58,58 years,1999,49593
59,59 years,1999,48987
60,60 years,1999,46012
61,61 years,1999,43994
62,62 years,1999,42307
63,63 years,1999,41349
64,64 years,1999,42042
65,65 years,1999,40995
66,66 years,1999,40753
67,67 years,1999,42304
68,68 years,1999,41143
69,69 years,1999,40101
70,70 years,1999,38208
71,71 years,1999,36690
72,72 years,1999,34688
73,73 years,1999,33797
74,74 years,1999,31488
75,75 years,1999,30459
76,76 years,1999,30433
77,77 years,1999,28148
78,78 years,1999,25933
79,79 years,1999,20319
80,80 years,1999,18128
81,81 years,1999,7773
82,82 years,1999,7291
83,83 years,1999,6950
84,84 years,1999,8257
85,85 years,1999,10534
86,86 years,1999,8678
87,87 years,1999,7348
88,88 years,1999,5501
89,89 years,1999,4576
90,90 years,1999,3865
91,91 years,1999,2825
92,92 years,1999,1964
93,93 years,1999,1514
94,94 years,1999,1162
95,95 years,1999,898
96,96 years,1999,689
97,97 years,1999,561
98,98 years,1999,411
99,99 years,1999,265
100,100 years,1999,538
101,101 years,1999,0
102,102 years,1999,0
103,103 years,1999,0
104,104 years,1999,0
105,105 years,1999,0
106,106 years,1999,0
107,107 years,1999,0
108,108 years,1999,0
109,109 years,1999,0
0,Zero years,2000,54741
1,1 year,2000,55758
2,2 years,2000,57043
3,3 years,2000,58556
4,4 years,2000,59464
5,5 years,2000,60697
6,6 years,2000,65552
7,7 years,2000,72476
8,8 years,2000,73644
9,9 years,2000,77406
10,10 years,2000,77308
11,11 years,2000,77464
12,12 years,2000,80718
13,13 years,2000,81356
14,14 years,2000,84242
15,15 years,2000,87528
16,16 years,2000,88105
17,17 years,2000,88960
18,18 years,2000,89406
19,19 years,2000,89816
20,20 years,2000,91321
21,21 years,2000,95984
22,22 years,2000,95601
23,23 years,2000,95213
24,24 years,2000,94965
25,25 years,2000,93378
26,26 years,2000,92777
27,27 years,2000,88114
28,28 years,2000,83298
29,29 years,2000,78610
30,30 years,2000,76123
31,31 years,2000,74209
32,32 years,2000,70924
33,33 years,2000,71548
34,34 years,2000,74581
35,35 years,2000,76951
36,36 years,2000,79455
37,37 years,2000,78857
38,38 years,2000,75908
39,39 years,2000,78447
40,40 years,2000,79036
41,41 years,2000,77936
42,42 years,2000,81821
43,43 years,2000,84291
44,44 years,2000,85880
45,45 years,2000,85343
46,46 years,2000,83619
47,47 years,2000,82702
48,48 years,2000,82793
49,49 years,2000,81102
50,50 years,2000,77101
51,51 years,2000,70037
52,52 years,2000,68904
53,53 years,2000,65756
54,54 years,2000,56625
55,55 years,2000,51865
56,56 years,2000,53914
57,57 years,2000,50209
58,58 years,2000,49587
59,59 years,2000,48993
60,60 years,2000,48322
61,61 years,2000,45246
62,62 years,2000,43279
63,63 years,2000,41542
64,64 years,2000,40556
65,65 years,2000,41083
66,66 years,2000,40009
67,67 years,2000,39738
68,68 years,2000,41157
69,69 years,2000,39884
70,70 years,2000,38779
71,71 years,2000,36842
72,72 years,2000,35218
73,73 years,2000,33211
74,74 years,2000,32204
75,75 years,2000,29773
76,76 years,2000,28733
77,77 years,2000,28514
78,78 years,2000,26240
79,79 years,2000,24004
80,80 years,2000,18566
81,81 years,2000,16420
82,82 years,2000,6953
83,83 years,2000,6432
84,84 years,2000,6093
85,85 years,2000,7201
86,86 years,2000,9041
87,87 years,2000,7313
88,88 years,2000,6149
89,89 years,2000,4439
90,90 years,2000,3687
91,91 years,2000,3040
92,92 years,2000,2199
93,93 years,2000,1563
94,94 years,2000,1246
95,95 years,2000,917
96,96 years,2000,740
97,97 years,2000,582
98,98 years,2000,485
99,99 years,2000,379
100,100 years,2000,0
101,101 years,2000,0
102,102 years,2000,0
103,103 years,2000,0
104,104 years,2000,0
105,105 years,2000,0
106,106 years,2000,0
107,107 years,2000,0
108,108 years,2000,0
109,109 years,2000,0
0,Zero years,2001,50861
1,1 year,2001,53924
2,2 years,2001,55632
3,3 years,2001,56386
4,4 years,2001,57845
5,5 years,2001,59967
6,6 years,2001,61038
7,7 years,2001,65833
8,8 years,2001,72234
9,9 years,2001,73797
10,10 years,2001,77316
11,11 years,2001,78778
12,12 years,2001,79019
13,13 years,2001,81940
14,14 years,2001,82400
15,15 years,2001,86016
16,16 years,2001,88661
17,17 years,2001,88771
18,18 years,2001,89251
19,19 years,2001,90582
20,20 years,2001,90787
21,21 years,2001,92154
22,22 years,2001,96113
23,23 years,2001,95152
24,24 years,2001,94433
25,25 years,2001,94647
26,26 years,2001,92123
27,27 years,2001,91704
28,28 years,2001,86938
29,29 years,2001,82191
30,30 years,2001,77077
31,31 years,2001,74586
32,32 years,2001,73352
33,33 years,2001,69899
34,34 years,2001,70647
35,35 years,2001,73999
36,36 years,2001,76239
37,37 years,2001,78691
38,38 years,2001,77804
39,39 years,2001,75292
40,40 years,2001,77801
41,41 years,2001,78142
42,42 years,2001,77278
43,43 years,2001,80762
44,44 years,2001,83325
45,45 years,2001,85331
46,46 years,2001,84431
47,47 years,2001,82627
48,48 years,2001,81353
49,49 years,2001,81928
50,50 years,2001,80100
51,51 years,2001,75973
52,52 years,2001,69380
53,53 years,2001,67985
54,54 years,2001,64896
55,55 years,2001,56011
56,56 years,2001,51434
57,57 years,2001,53426
58,58 years,2001,49332
59,59 years,2001,48934
60,60 years,2001,48224
61,61 years,2001,47206
62,62 years,2001,44178
63,63 years,2001,42016
64,64 years,2001,40114
65,65 years,2001,39476
66,66 years,2001,39646
67,67 years,2001,38711
68,68 years,2001,38331
69,69 years,2001,39607
70,70 years,2001,38202
71,71 years,2001,36880
72,72 years,2001,35033
73,73 years,2001,33291
74,74 years,2001,31360
75,75 years,2001,30288
76,76 years,2001,27840
77,77 years,2001,26760
78,78 years,2001,26273
79,79 years,2001,24199
80,80 years,2001,21807
81,81 years,2001,16703
82,82 years,2001,14613
83,83 years,2001,6009
84,84 years,2001,5506
85,85 years,2001,5236
86,86 years,2001,6056
87,87 years,2001,7413
88,88 years,2001,5813
89,89 years,2001,4867
90,90 years,2001,3518
91,91 years,2001,2754
92,92 years,2001,2076
93,93 years,2001,1418
94,94 years,2001,947
95,95 years,2001,632
96,96 years,2001,504
97,97 years,2001,326
98,98 years,2001,188
99,99 years,2001,153
100,100 years,2001,249
101,101 years,2001,0
102,102 years,2001,0
103,103 years,2001,0
104,104 years,2001,0
105,105 years,2001,0
106,106 years,2001,0
107,107 years,2001,0
108,108 years,2001,0
109,109 years,2001,0
0,Zero years,2002,50519
1,1 year,2002,50805
2,2 years,2002,53919
3,3 years,2002,55635
4,4 years,2002,56395
5,5 years,2002,57858
6,6 years,2002,59961
7,7 years,2002,61035
8,8 years,2002,65821
9,9 years,2002,72213
10,10 years,2002,73778
11,11 years,2002,77319
12,12 years,2002,78780
13,13 years,2002,79016
14,14 years,2002,81937
15,15 years,2002,82390
16,16 years,2002,86003
17,17 years,2002,88622
18,18 years,2002,88726
19,19 years,2002,89202
20,20 years,2002,90531
21,21 years,2002,90750
22,22 years,2002,92068
23,23 years,2002,96023
24,24 years,2002,95042
25,25 years,2002,94358
26,26 years,2002,94553
27,27 years,2002,92052
28,28 years,2002,91617
29,29 years,2002,86864
30,30 years,2002,82131
31,31 years,2002,77009
32,32 years,2002,74552
33,33 years,2002,73305
34,34 years,2002,69837
35,35 years,2002,70566
36,36 years,2002,73941
37,37 years,2002,76186
38,38 years,2002,78586
39,39 years,2002,77686
40,40 years,2002,75166
41,41 years,2002,77622
42,42 years,2002,77931
43,43 years,2002,77093
44,44 years,2002,80522
45,45 years,2002,83013
46,46 years,2002,85032
47,47 years,2002,84083
48,48 years,2002,82211
49,49 years,2002,80906
50,50 years,2002,81418
51,51 years,2002,79597
52,52 years,2002,75435
53,53 years,2002,68849
54,54 years,2002,67414
55,55 years,2002,64318
56,56 years,2002,55421
57,57 years,2002,50888
58,58 years,2002,52830
59,59 years,2002,48736
60,60 years,2002,48250
61,61 years,2002,47514
62,62 years,2002,46449
63,63 years,2002,43421
64,64 years,2002,41226
65,65 years,2002,39250
66,66 years,2002,38563
67,67 years,2002,38674
68,68 years,2002,37704
69,69 years,2002,37220
70,70 years,2002,38427
71,71 years,2002,36926
72,72 years,2002,35480
73,73 years,2002,33604
74,74 years,2002,31754
75,75 years,2002,29860
76,76 years,2002,28654
77,77 years,2002,26215
78,78 years,2002,24985
79,79 years,2002,24368
80,80 years,2002,22234
81,81 years,2002,19899
82,82 years,2002,15049
83,83 years,2002,13051
84,84 years,2002,5323
85,85 years,2002,4847
86,86 years,2002,4477
87,87 years,2002,5152
88,88 years,2002,6105
89,89 years,2002,4756
90,90 years,2002,3940
91,91 years,2002,2756
92,92 years,2002,2157
93,93 years,2002,1597
94,94 years,2002,1055
95,95 years,2002,654
96,96 years,2002,448
97,97 years,2002,363
98,98 years,2002,228
99,99 years,2002,123
100,100 years,2002,327
101,101 years,2002,0
102,102 years,2002,0
103,103 years,2002,0
104,104 years,2002,0
105,105 years,2002,0
106,106 years,2002,0
107,107 years,2002,0
108,108 years,2002,0
109,109 years,2002,0
0,Zero years,2003,51384
1,1 year,2003,50459
2,2 years,2003,50804
3,3 years,2003,53905
4,4 years,2003,55651
5,5 years,2003,56403
6,6 years,2003,57863
7,7 years,2003,59970
8,8 years,2003,61047
9,9 years,2003,65840
10,10 years,2003,72221
11,11 years,2003,73788
12,12 years,2003,77324
13,13 years,2003,78783
14,14 years,2003,79014
15,15 years,2003,81947
16,16 years,2003,82385
17,17 years,2003,85994
18,18 years,2003,88596
19,19 years,2003,88681
20,20 years,2003,89154
21,21 years,2003,90461
22,22 years,2003,90701
23,23 years,2003,92030
24,24 years,2003,95951
25,25 years,2003,94984
26,26 years,2003,94292
27,27 years,2003,94495
28,28 years,2003,91969
29,29 years,2003,91574
30,30 years,2003,86819
31,31 years,2003,82079
32,32 years,2003,76980
33,33 years,2003,74524
34,34 years,2003,73278
35,35 years,2003,69788
36,36 years,2003,70503
37,37 years,2003,73890
38,38 years,2003,76078
39,39 years,2003,78462
40,40 years,2003,77556
41,41 years,2003,75028
42,42 years,2003,77424
43,43 years,2003,77739
44,44 years,2003,76862
45,45 years,2003,80223
46,46 years,2003,82662
47,47 years,2003,84708
48,48 years,2003,83680
49,49 years,2003,81767
50,50 years,2003,80436
51,51 years,2003,80906
52,52 years,2003,79040
53,53 years,2003,74860
54,54 years,2003,68297
55,55 years,2003,66821
56,56 years,2003,63695
57,57 years,2003,54778
58,58 years,2003,50360
59,59 years,2003,52160
60,60 years,2003,48059
61,61 years,2003,47549
62,62 years,2003,46747
63,63 years,2003,45658
64,64 years,2003,42655
65,65 years,2003,40379
66,66 years,2003,38379
67,67 years,2003,37641
68,68 years,2003,37644
69,69 years,2003,36603
70,70 years,2003,36040
71,71 years,2003,37138
72,72 years,2003,35541
